Sentence #;Word;POS;Tag
;International;NNP;B-org
;Committee;NNP;I-org
;of;IN;O
;the;DT;O
;Red;JJ;B-org
;Cross;NN;I-org
;says;VBZ;O
;84;CD;O
;people;NNS;O
;have;VB;O
;been;VBN;O
;killed;VBN;O
;in;IN;O
;the;DT;O
;capital;NN;O
;city;NN;O
;of;IN;O
;Khartoum;NNP;B-time
;since;IN;I-time
;Monday;NNP;B-time
;,;,;O
;when;WRB;O
;southern;JJ;O
;Sudanese;JJ;B-gpe
;began;VBD;O
;rioting;NN;O
;after;IN;O
;learning;VBG;O
;of;IN;O
;Mr.;.;B-per
;Garang;NNP;I-per
;'s;POS;O
;death;NN;O
;in;IN;O
;a;DT;O
;helicopter;NN;O
;crash;NN;O
;Saturday;NNP;B-time
;.;.;O
Sentence: 9902;Another;DT;O
;18;CD;O
;people;NNS;O
;have;VB;O
;been;VBN;O
;killed;VBN;O
;in;IN;O
;the;DT;O
;southern;JJ;O
;city;NN;O
;of;IN;O
;Juba;NN;B-geo
;,;,;O
;Mr.;.;B-per
;Garang;NNP;I-per
;'s;POS;O
;home;NN;O
;base;NN;O
;.;.;O
Sentence: 9903;The;DT;O
;violence;NN;O
;has;VBZ;O
;forced;VBN;O
;scores;NNS;O
;of;IN;O
;northern;JJ;O
;Muslim;NN;B-org
;Arabs;NNS;B-gpe
;to;TO;O
;flee;NN;O
;Juba;NN;B-geo
;.;.;O
Sentence: 9904;Mr.;.;B-per
;Garang;NNP;I-per
;led;VBN;O
;the;DT;O
;mostly;RB;O
;Christian;JJ;B-time
;and;CC;O
;animist;NN;O
;south;NN;O
;in;IN;O
;a;DT;O
;21-year-old;JJ;O
;civil;JJ;O
;war;NN;O
;against;IN;O
;the;DT;O
;Muslim-dominated;JJ;B-gpe
;north;NN;O
;.;.;O
Sentence: 9905;He;PRP;O
;was;VBD;O
;sworn;NN;O
;in;IN;O
;as;IN;O
;vice;NN;O
;president;NN;O
;just;RB;O
;three;CD;O
;weeks;NNS;O
;ago;RB;O
;under;IN;O
;a;DT;O
;peace;NN;O
;accord;NN;O
;reached;VBN;O
;earlier;RBR;O
;this;DT;O
;year;NN;O
;.;.;O
Sentence: 9906;The;DT;B-obj
;United;NNP;B-org
;States;NNS;I-org
;is;VBZ;O
;urging;VBG;O
;Khartoum;NNP;B-org
;to;TO;O
;increase;NN;O
;efforts;NNS;O
;to;TO;O
;end;NN;O
;the;DT;O
;violence;NN;O
;.;.;O
Sentence: 9907;Israeli;JJ;B-gpe
;Prime;NNP;B-per
;Minister-designate;NN;I-per
;Tzipi;NN;I-per
;Livni;NN;I-per
;says;VBZ;O
;she;PRP;O
;will;MD;O
;form;NN;O
;a;DT;O
;new;JJ;O
;coalition;NN;O
;government;NN;O
;by;IN;O
;Sunday;NNP;B-geo
;or;CC;O
;call;NN;O
;for;IN;O
;elections;NNS;O
;.;.;O
Sentence: 9908;Livni;NN;O
;announced;VBD;O
;the;DT;O
;decision;NN;O
;Thursday;NNP;B-time
;following;VBG;O
;talks;NNS;O
;with;IN;O
;her;PRP$;O
