Word;POS;Tag
southern;JJ;geo
today;NN;time
and;CC;org
al;NNP;org
in;IN;org
al-Qaida;NNP;org
bin;NNP;per
states;NNS;geo
for;IN;org
of;IN;org
of;IN;time
english;NNP;obj
government-funded;JJ;org
alHurra;NNP;obj
airlines;NNS;org
on;IN;org
of;IN;obj
midnight;NN;time
of;IN;gpe
al-Rubaei;NNP;per
al-Aqsa;NNP;org
al-Baghdadi;NNP;per
al-Dulaymi;NNP;per
al-Sadr;NNP;per
al-Dulaimi;NNP;per
al-Uloum;NNP;per
al-Qaim;NNP;geo
century;NN;time
al-Zarqawi;NNP;per
force;NN;org
eastern;JJ;geo
each;DT;time
from;IN;time
to;TO;time
three-day;JJ;time
first;JJ;time
quarter;NN;time
two;CD;time
end;NN;time
detention;NN;time
committee-chairman;NN;org
recent;JJ;time
midday;NN;time
fourth;JJ;time
his;PRP$;time
da;NNP;per
anniversary;NN;time
few;JJ;time
decades;NNS;time
of;IN;geo
one;CD;time
al-Nuimei;NNP;per
diplomat;NN;org
western;JJ;geo
oil-rich;NN;org
almost;RB;time
between;IN;time
morning;NN;time
al-Maliki;NNP;per
in;IN;time
than;IN;time
three;CD;time
coalition;NN;time
parliamentary;JJ;time
vote;NN;time
birthday;NN;time
celebration;NN;time
second;JJ;time
time;NN;time
enclaves;NNS;org
starting;NN;time
date;NN;time
release;NN;time
more;JJR;time
seven;CD;time
di;NNP;geo
basilica;NN;geo
six;CD;time
to;CC;time
nine;CD;time
democratic;JJ;geo
and;CC;time
homeland;NN;geo
since;IN;time
past;JJ;time
four-year;JJ;time
navy;NN;org
al-Zawahiri;NNP;per
fifth;JJ;time
about;IN;time
eight;CD;time
al-Majid;NNP;per
overnight;JJ;time
day-long;JJ;time
second-in-command;NN;geo
al-Zawahri;NNP;per
by-election;NN;time
several;JJ;time
later;RB;time
of;IN;per
mid;JJ;time
mid-1990s;NNS;org
that;IN;time
previous;JJ;time
half;NN;time
four;CD;time
native;JJ;org
fifth;NN;time
then;RB;time
five;CD;time
president;NN;per
de;NNP;geo
de;IN;per
two-year;JJ;time
afternoon;NN;time
al-Assad;NNP;per
government;NN;org
island;NN;geo
within;IN;time
infected;JJ;time
al-Jazeera;NNP;org
prime;JJ;per
al-Sheikh;NNP;geo
balloting;NN;time
fishing-rich;JJ;org
ceremony;NN;time
summer;NN;time
the;DT;geo
al-Aqili;NNP;per
e-commerce;NN;org
nine-year;JJ;time
that;DT;time
day;NN;time
parliament;NN;org
northwest;JJ;geo
night;NN;time
coast;NN;org
one-day;JJ;time
mayor;NNP;per
www.gov.cn;NNP;geo
victory;NN;time
straight;JJ;time
coup;NN;time
the;NNP;org
mid-year;JJ;time
al-Shahristani;NNP;per
al-Jaafari;NNP;per
election;NN;time
al-Rai;NNP;org
overnight;RB;time
the;DT;obj
over;IN;time
de;NNP;per
del;NNP;geo
evening;NN;time
al-Sharjee;NNP;geo
south;NN;geo
settlement;NN;geo
mid-November;NNP;time
al-Hakim;NNP;geo
economist;NN;org
term;NN;time
period;NN;time
debt-to-GDP;NNP;per
decade;NN;time
two-day;JJ;time
al-Islam;NNP;org
ministry;NN;time
multi-party;JJ;time
non-Muslims;NNPS;org
seventh;JJ;time
al-Muhajer;NNP;org
apartheid;NN;time
another;DT;time
southeastern;JJ;geo
sub-Saharan;JJ;geo
prison;NN;time
holy;JJ;time
settlement;NN;org
militant;JJ;org
group;NN;org
de;NNP;org
al-Ilayan;NNP;per
before;IN;time
embargo;NN;geo
fiscal;JJ;time
d'Ivoire;NNP;gpe
manufacturing;NN;time
prison;NN;geo
holiday;NN;time
holiday;NN;org
a.m.;RB;time
al-Fitr;NNP;geo
month-long;JJ;time
five-day;JJ;time
al-Faisal;NNP;per
al-Bashir;NNP;per
al-Bashir;NNP;org
ceremonies;NNS;time
mid-September;NNP;geo
earlier;JJR;time
through;IN;time
tonight;NN;time
presidents;NNS;per
al-Aqsa;JJ;org
airport;NN;geo
straw;NN;time
about;RB;time
al-Nuaimi;NNP;per
zu;NNP;per
third;JJ;time
service;NNP;org
al-Sistani;NNP;per
courthouse;NN;org
judge;NN;org
laureate;NN;per
al-Qidwa;NNP;per
two-100ths;NNS;time
second;NN;time
affairs;NNS;org
that;WDT;time
closing;NN;time
militants;NNS;org
east;JJ;geo
northeastern;JJ;time
mosque;NN;geo
the;DT;time
busiest;JJS;time
costliest;JJS;time
or;CC;time
season;NN;time
first;RB;time
later;JJ;time
peninsula;NN;geo
first;NN;time
vice;NN;per
of;IN;event
earlier;RB;time
eight-day;JJ;time
de;IN;geo
mid-third;JJ;time
beginning;NN;time
republic;NN;geo
third;NN;time
embargo;NN;org
four-day;JJ;time
operation;NN;time
new;JJ;time
week-long;JJ;time
nominee;NN;org
northwest;NN;geo
late;JJ;time
three-year;JJ;time
de;IN;org
offensive;NN;time
al-Harith;NNP;per
al-Mashhadani;NNP;per
mission;NN;time
prison;NN;org
activists;NNS;time
mid-August;JJ;org
non-residents;NNS;time
decision-making;NN;org
al-Shabab;NNP;org
multi-candidate;JJ;time
el-Sheikh;NNP;geo
couple;NN;time
al-Hariri;NNP;per
three-week;JJ;time
al-Aalam;NNP;org
later;RBR;time
earlier;RBR;time
di;NNP;per
della;NN;org
al-Zahar;NNP;per
wall;NN;time
due;JJ;time
mid-January;NNP;geo
melt;NN;time
yesterday;NN;time
session;NN;time
three-month;JJ;time
