Word;POS;Tag
President;NNP;per
Karzai;NNP;per
NATO;NNP;org
Afghan;JJ;gpe
British;NNP;org
General;NNP;org
David;NNP;per
Richards;NNP;per
Afghanistan;NNP;geo
July;NNP;time
Burma;NNP;geo
Minister;NNP;per
Khin;NNP;per
Nyunt;NNP;per
Sunday;NNP;time
October;NNP;time
Thura;NNP;org
Shwe;NNP;org
Mahn;NNP;org
Soe;NNP;org
Win;NNP;org
Afghanistan;NNP;time
Joint;NNP;org
Coordination;NNP;org
Monitoring;NNP;org
Board;NNP;org
Monday;NNP;time
United;NNP;org
Nations;NNPS;org
Taleban;NNP;org
Bermel;NNP;geo
Paktika;NNP;geo
Kabul;NNP;org
Indian;JJ;gpe
Pakistani;JJ;gpe
Punjab;NNP;geo
Saturday;NNP;time
Mogadishu;NNP;geo
Wednesday;NNP;time
Somali;JJ;gpe
Iraqi;JJ;gpe
Mosul;NNP;geo
Qaida;NNP;org
Iraq;NNP;org
Sunni;NNP;geo
Arab;NNP;geo
Kurdish;NNP;geo
U.S.;NNP;gpe
American;JJ;gpe
Anbar;NNP;geo
Baghdad;NNP;geo
Sunni;NNP;org
Egyptian;JJ;gpe
Muslim;NNP;org
Brotherhood;NNP;org
Friday;NNP;time
Alexandria;NNP;geo
Pakistan;NNP;geo
North;NNP;geo
West;NNP;geo
Frontier;NNP;geo
Province;NNP;geo
Mutahida;NNP;org
Majlis-e-Amal;NNP;org
Thursday;NNP;time
British;JJ;gpe
Islam;NNP;org
Prophet;NNP;per
Muhammad;NNP;per
Bedfordshire;NNP;gpe
Tuesday;NNP;time
Omar;NNP;per
Khayam;NNP;per
Bedford;NNP;geo
Home;NNP;org
Office;NNP;org
Associated;NNP;org
Press;NNP;org
AP;NNP;org
Malik;NNP;per
Faridullah;NNP;per
Khan;NNP;per
South;NNP;geo
Waziristan;NNP;geo
Kani;NNP;geo
Wam;NNP;geo
Pakistan;NNP;gpe
United;NNP;gpe
States;NNPS;gpe
Abdul;NNP;per
Qadeer;NNP;per
Iran;NNP;gpe
Libya;NNP;gpe
North;NNP;gpe
Korea;NNP;gpe
Washington;NNP;geo
Islamabad;NNP;geo
Army;NNP;org
Halliburton;NNP;org
Iraq;NNP;geo
Asia;NNP;org
Pacific;NNP;org
Economic;NNP;org
Cooperation;NNP;org
Business;NNP;org
Advisory;NNP;org
Council;NNP;org
APEC;NNP;org
September;NNP;time
VOA;NNP;org
Nancy-Amelia;NNP;per
Collins;NNP;per
Sydney;NNP;geo
World;NNP;org
Trade;NNP;org
Organization;NNP;org
ABAC;NNP;org
Tim;NNP;per
Harcourt;NNP;per
Australian;NNP;org
Commission;NNP;org
Sudan;NNP;gpe
Darfur;NNP;geo
Foreign;NNP;per
Mustafa;NNP;per
Osman;NNP;per
Ismail;NNP;per
Sudanese;JJ;gpe
April;NNP;time
Mr.;NNP;per
African;NNP;org
Union;NNP;org
Khartoum;NNP;geo
AU;NNP;org
Labado;NNP;geo
Khartoum;NNP;gpe
Indonesian;JJ;gpe
Bali;NNP;geo
Java;NNP;geo
Australian;JJ;gpe
French;JJ;gpe
Cholily;NNP;per
Indonesia;NNP;geo
Azahari;NNP;per
Husin;NNP;per
Roman;NNP;org
Catholic;NNP;org
Somalia;NNP;geo
Pope;NNP;per
Benedict;NNP;per
Sister;NNP;per
Leonella;NNP;per
Sgorbati;NNP;per
Rome;NNP;geo
Vatican;NNP;org
Byzantine;NNP;per
Muhammed;NNP;per
Orakzai;NNP;geo
Taliban;NNP;org
Kurram;NNP;geo
U.S.;NNP;org
Uruzgan;NNP;geo
Mazar-e-Sharif;NNP;geo
Russian;JJ;gpe
Moscow;NNP;geo
Russia;NNP;geo
Itar-Tass;NNP;org
Baltic;JJ;geo
Lithuania;NNP;geo
Latvia;NNP;geo
Estonia;NNP;geo
Vietnam;NNP;geo
Vietnamese;JJ;gpe
Ninh;NNP;gpe
Binh;NNP;gpe
Health;NNP;org
Ethiopian;JJ;gpe
Defense;NNP;org
Ministry;NNP;org
Ethiopia;NNP;gpe
December;NNP;time
Somalia;NNP;gpe
Islamist;NNP;org
Addis;NNP;gpe
Ababa;NNP;gpe
Palestinian;JJ;gpe
Ahmed;NNP;per
Qureia;NNP;per
Israeli;JJ;gpe
Prime;NNP;per
Ehud;NNP;per
Olmert;NNP;per
Mahmoud;NNP;per
Abbas;NNP;per
November;NNP;time
George;NNP;per
Bush;NNP;per
Israel;NNP;geo
Bank;NNP;geo
Major;NNP;per
General;NNP;per
Udi;NNP;per
Adam;NNP;per
Northern;NNP;org
Command;NNP;org
Hezbollah;NNP;org
Lebanon;NNP;geo
Lieutenant;NNP;per
Dan;NNP;per
Halutz;NNP;per
Institute;NNP;org
Science;NNP;org
International;NNP;org
Security;NNP;org
Khushab;NNP;geo
Foreign;NNP;org
Tasnim;NNP;per
Aslam;NNP;per
American;NNP;org
Diabetes;NNP;org
Association;NNP;org
June;NNP;per
Soh;NNP;per
Amy;NNP;per
Katz;NNP;per
Cuba;NNP;gpe
Panama;NNP;gpe
Havana;NNP;gpe
City;NNP;gpe
Cuban;JJ;gpe
Fidel;NNP;per
Castro;NNP;per
Panamanian;JJ;gpe
Martin;NNP;per
Torrijos;NNP;per
Vice;NNP;per
Carlos;NNP;per
Lage;NNP;per
San;NNP;geo
Jose;NNP;geo
Costa;NNP;geo
Rica;NNP;geo
States;NNPS;org
August;NNP;time
Mireya;NNP;per
Moscoso;NNP;per
Cuba;NNP;geo
Panama;NNP;geo
City;NNP;geo
Gaza;NNP;geo
Strip;NNP;geo
June;NNP;time
Palestinians;NNS;gpe
Haniyeh;NNP;per
Israel;NNP;gpe
Arab;JJ;gpe
Hamas;NNP;org
Fatah;NNP;org
U.S.;NNP;geo
Chrysler;NNP;org
Mexico;NNP;geo
Saltillo;NNP;obj
Mexican;JJ;gpe
Felipe;NNP;per
Calderon;NNP;per
Mexico;NNP;gpe
Pentastar;NNP;obj
V-6;NNP;obj
Chrysler;NNP;obj
Dodge;NNP;obj
Jeep;NNP;obj
Ram;NNP;obj
Merck;NNP;org
Vioxx;NNP;obj
New;NNP;geo
Jersey;NNP;geo
Vioxx;NNP;org
Nicole;NNP;per
Ritchie;NNP;per
ABC;NNP;org
