;Sentence #;Word;POS;Tag
0;Sentence: 1;President;NNP;B-per
1;;Karzai;NNP;I-per
2;;thanked;VBD;O
3;;his;PRP$;O
4;;allies;NNS;O
5;;for;IN;O
6;;their;PRP$;O
7;;help;NN;O
8;;in;IN;O
9;;battling;VBG;O
10;;terrorism;NN;O
11;;.;.;O
12;Sentence: 2;The;DT;O
13;;commander;NN;O
14;;of;IN;O
15;;NATO;NNP;B-org
16;;'s;POS;O
17;;Afghan;JJ;B-gpe
18;;force;NN;O
19;;,;,;O
20;;British;NNP;B-org
21;;General;NNP;I-org
22;;David;NNP;B-per
23;;Richards;NNP;I-per
24;;,;,;O
25;;said;VBD;O
26;;the;DT;O
27;;unity;NN;O
28;;of;IN;O
29;;command;NN;O
30;;the;DT;O
31;;transfer;NN;O
32;;brought;VBD;O
33;;will;MD;O
34;;enhance;VB;O
35;;the;DT;O
36;;effectiveness;NN;O
37;;of;IN;O
38;;the;DT;O
39;;overall;JJ;O
40;;operation;NN;O
41;;.;.;O
42;Sentence: 3;Referring;VBG;O
43;;to;TO;O
44;;the;DT;O
45;;fight;NN;O
46;;in;IN;O
47;;southern;JJ;B-geo
48;;Afghanistan;NNP;I-geo
49;;since;IN;O
50;;NATO;NNP;B-org
51;;took;VBD;O
52;;command;NN;O
53;;there;RB;O
54;;in;IN;O
55;;July;NNP;B-time
56;;,;,;O
57;;Richards;NNP;B-per
58;;said;VBD;O
59;;the;DT;O
60;;NATO;NNP;B-org
61;;force;NN;O
62;;has;VBZ;O
63;;shown;VBN;O
64;;its;PRP$;O
65;;resolve;NN;O
66;;to;TO;O
67;;meet;VB;O
68;;the;DT;O
69;;challenges;NNS;O
70;;of;IN;O
71;;its;PRP$;O
72;;expanded;JJ;O
73;;mission;NN;O
74;;.;.;O
75;Sentence: 4;Richards;NNP;B-per
76;;was;VBD;O
77;;promoted;VBN;O
78;;to;TO;O
79;;four-star;JJ;O
80;;general;JJ;O
81;;hours;NNS;O
82;;before;IN;O
83;;the;DT;O
84;;command;NN;O
85;;change;NN;O
86;;.;.;O
87;Sentence: 5;Burma;NNP;B-geo
88;;'s;POS;O
89;;military;JJ;O
90;;government;NN;O
91;;said;VBD;O
92;;today;NN;B-time
93;;that;IN;O
94;;ex-Prime;NNP;O
95;;Minister;NNP;B-per
96;;Khin;NNP;I-per
97;;Nyunt;NNP;I-per
98;;was;VBD;O
99;;ousted;VBN;O
100;;last;JJ;O
101;;month;NN;O
102;;because;IN;O
103;;his;PRP$;O
104;;investigations;NNS;O
105;;of;IN;O
106;;military;JJ;O
107;;commanders;NNS;O
108;;threatened;VBD;O
109;;the;DT;O
110;;unity;NN;O
111;;of;IN;O
112;;the;DT;O
113;;armed;JJ;O
114;;forces;NNS;O
115;;.;.;O
116;Sentence: 6;State-controlled;JJ;O
117;;newspapers;NNS;O
118;;on;IN;O
119;;Sunday;NNP;B-time
120;;published;VBD;O
121;;a;DT;O
122;;speech;NN;O
123;;delivered;VBN;O
124;;October;NNP;B-time
125;;24;CD;I-time
126;;by;IN;O
127;;ruling;VBG;O
128;;council;NN;O
129;;member;NN;O
130;;General;NNP;B-org
131;;Thura;NNP;I-org
132;;Shwe;NNP;I-org
133;;Mahn;NNP;I-org
134;;,;,;O
135;;who;WP;O
136;;said;VBD;O
137;;Khin;NNP;B-per
138;;Nyunt;NNP;I-per
139;;began;VBD;O
140;;investigating;VBG;O
141;;rival;JJ;O
142;;officers;NNS;O
143;;after;IN;O
144;;being;VBG;O
145;;told;VBN;O
146;;he;PRP;O
147;;would;MD;O
148;;be;VB;O
149;;replaced;VBN;O
150;;as;IN;O
151;;military;JJ;O
152;;intelligence;NN;O
153;;chief;NN;O
154;;.;.;O
155;Sentence: 7;Thura;NNP;B-org
156;;Shwe;NNP;I-org
157;;Mahn;NNP;I-org
158;;said;VBD;O
159;;those;DT;O
160;;actions;NNS;O
161;;posed;VBD;O
162;;a;DT;O
163;;serious;JJ;O
164;;threat;NN;O
165;;to;TO;O
166;;the;DT;O
167;;unity;NN;O
168;;of;IN;O
169;;the;DT;O
170;;military;JJ;O
171;;and;CC;O
172;;the;DT;O
173;;nation;NN;O
174;;.;.;O
175;Sentence: 8;He;PRP;O
176;;also;RB;O
177;;told;VBD;O
178;;businessmen;NNS;O
179;;with;IN;O
180;;connections;NNS;O
181;;to;TO;O
182;;Khin;NNP;B-per
183;;Nyunt;NNP;I-per
184;;to;TO;O
185;;disclose;VB;O
186;;that;DT;O
187;;information;NN;O
188;;to;TO;O
189;;the;DT;O
190;;ruling;NN;O
191;;council;NN;O
192;;.;.;O
193;Sentence: 9;The;DT;O
194;;former;JJ;O
195;;prime;JJ;O
196;;minister;NN;O
197;;was;VBD;O
198;;replaced;VBN;O
199;;October;NNP;B-time
200;;19;CD;I-time
201;;by;IN;O
202;;hardliner;NN;O
203;;Lieutenant;NNP;O
204;;General;NNP;B-org
205;;Soe;NNP;I-org
206;;Win;NNP;I-org
207;;.;.;O
208;Sentence: 10;The;DT;O
209;;change;NN;O
210;;in;IN;O
211;;leaders;NNS;O
212;;is;VBZ;O
213;;believed;VBN;O
214;;to;TO;O
215;;be;VB;O
216;;indicative;JJ;O
217;;of;IN;O
218;;deep;JJ;O
219;;divisions;NNS;O
220;;within;IN;O
221;;the;DT;O
222;;government;NN;O
223;;.;.;O
224;Sentence: 11;A;DT;O
225;;new;JJ;O
226;;report;NN;O
227;;says;VBZ;O
228;;nearly;RB;O
229;;4;CD;O
230;;people;NNS;O
231;;have;VBP;O
232;;been;VBN;O
233;;killed;VBN;O
234;;in;IN;O
235;;fighting;VBG;O
236;;in;IN;O
237;;Afghanistan;NNP;B-time
238;;this;DT;O
239;;year;NN;O
240;;.;.;O
241;Sentence: 12;The;DT;O
242;;Joint;NNP;B-org
243;;Coordination;NNP;I-org
244;;and;CC;I-org
245;;Monitoring;NNP;I-org
246;;Board;NNP;I-org
247;;Monday;NNP;B-time
248;;,;,;O
249;;says;VBZ;O
250;;insurgent;JJ;O
251;;violence;NN;O
252;;has;VBZ;O
253;;killed;VBN;O
254;;3700;CD;O
255;;people;NNS;O
256;;so;RB;O
257;;far;RB;O
258;;this;DT;O
259;;year;NN;O
260;;,;,;O
261;;most;JJS;O
262;;of;IN;O
263;;them;PRP;O
264;;rebels;NNS;O
265;;.;.;O
266;Sentence: 13;The;DT;O
267;;report;NN;O
268;;also;RB;O
269;;says;VBZ;O
270;;militants;NNS;O
271;;launch;NN;O
272;;about;IN;O
273;;600;CD;O
274;;attacks;NNS;O
275;;a;DT;O
276;;month;NN;O
277;;,;,;O
278;;four;CD;O
279;;times;NNS;O
280;;higher;JJR;O
281;;than;IN;O
282;;last;JJ;O
283;;year;NN;O
284;;'s;POS;O
285;;monthly;JJ;O
286;;average;NN;O
287;;.;.;O
288;Sentence: 14;The;DT;O
289;;monitoring;NN;O
290;;board;NN;O
291;;is;VBZ;O
292;;comprised;VBN;O
293;;of;IN;O
294;;Afghan;JJ;B-gpe
295;;and;CC;O
296;;international;JJ;O
297;;representatives;NNS;O
298;;,;,;O
299;;including;VBG;O
300;;the;DT;O
