Tag;Before;After;Darab
per;;NNP;1
per;NNP;VBD;654
org;IN;POS;41
gpe;POS;NN;9
org;,;NNP;78
org;NNP;NNP;968
per;NNP;NNP;1288
per;NNP;,;396
geo;IN;NNP;504
geo;JJ;IN;43
org;IN;VBD;24
time;IN;,;263
per;,;VBD;31
org;DT;NN;208
per;.;VBD;111
geo;.;POS;183
time;VBD;IN;118
time;IN;VBD;29
time;VBN;CD;19
time;NNP;IN;105
org;NN;NNP;66
org;NNP;,;172
per;VBD;NNP;81
org;.;NNP;161
org;NNP;VBD;166
per;TO;NNP;30
per;NNP;TO;40
org;NNP;.;145
time;IN;DT;13
org;DT;NNP;779
org;NNP;CC;84
org;CC;NNP;66
time;NNP;,;139
gpe;IN;CC;17
org;DT;NNPS;51
gpe;IN;NNS;154
org;CD;NNS;35
geo;IN;NN;127
org;WRB;CC;2
gpe;CC;NNS;56
org;DT;IN;95
gpe;VB;CC;3
gpe;.;NN;76
gpe;PRP$;NNS;6
geo;JJ;NN;154
gpe;.;NNS;229
time;IN;POS;73
time;NNP;.;143
gpe;CD;NNS;112
gpe;.;JJ;27
geo;NN;IN;5
org;IN;NNP;186
org;NNP;IN;200
org;IN;NNS;80
geo;DT;NNP;252
geo;NNP;CC;82
geo;CC;NN;7
gpe;WRB;NNS;3
org;VBP;NNP;10
geo;CC;TO;4
geo;.;VBZ;178
geo;IN;CC;160
org;IN;JJ;9
gpe;,;NNS;47
gpe;CD;NN;26
time;NNS;.;22
geo;IN;.;578
org;DT;VBD;49
org;DT;RB;11
org;NNP;VBZ;247
geo;IN;POS;308
geo;POS;NNP;46
geo;NNP;NNP;112
geo;NNP;VBP;24
time;VBN;IN;59
time;JJ;NNS;55
org;JJ;IN;23
geo;VBG;.;15
org;VBG;POS;4
per;POS;NNP;60
per;NNP;.;178
per;IN;NNP;267
geo;IN;IN;328
per;IN;POS;22
org;NNP;NN;238
per;VBZ;VBZ;2
per;NN;NNP;361
time;NNP;WRB;5
geo;NNP;NN;127
geo;NNP;.;225
org;JJ;CC;9
org;CC;NNS;33
time;IN;.;373
gpe;JJ;JJ;22
gpe;VBZ;VBZ;4
gpe;DT;NNPS;10
gpe;NNP;.;4
per;,;NNP;296
gpe;VBG;,;1
gpe;,;CC;11
gpe;CC;NNP;31
gpe;DT;NN;578
time;IN;IN;137
geo;IN;,;374
gpe;.;NNP;148
org;NNP;NNS;88
org;.;VBZ;102
org;IN;VBP;10
org;NNP;VBP;23
time;IN;CD;163
time;NNP;CC;23
time;CC;.;15
org;.;POS;54
per;NNP;VBZ;480
org;NNP;POS;65
org;IN;.;37
per;.;NNP;537
org;VBZ;VBZ;8
per;``;VBD;4
org;RB;VBZ;1
org;``;VBZ;6
org;RP;.;1
time;IN;TO;28
per;.;,;16
org;DT;NNS;23
gpe;.;POS;35
gpe;VBZ;NNS;13
time;DT;NN;172
org;,;NNS;16
gpe;VBP;NNS;11
time;.;,;38
geo;IN;VBD;104
gpe;VBD;NN;11
gpe;.;VBZ;33
geo;NNP;JJ;26
time;DT;CD;80
time;NNP;NNP;50
